ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp,ag_gspphot,ruwe,abs_mag
45.385971319362554,0.04866897,1.6935922558122118,0.05123181,5.015246572366304,0.056683246,21.031152665369454,0.061212253,-44.25091515643749,0.06826632,16.241674,2.4777517,0.4441,0.9626001,9.743135872099298
45.176121981793244,0.10720592,3.603784064657911,0.09445125,5.174528320675123,0.1306693,17.801159698053866,0.12571616,-46.24106777811478,0.11404578,17.770115,2.8448582,0.4897,0.9938892,11.339468739795896
47.208552344386575,0.016667388,10.993290847675997,0.014649912,7.481874396448031,0.018802065,19.835256204975977,0.02298248,-44.546341511702856,0.019326964,10.119741,0.8274565,0.0074,1.0931227,4.489793505383005
49.44760556162574,0.40568563,7.80308667193609,0.34098402,6.724597493952885,0.44295293,19.34528993971689,0.56675327,-47.97178240332164,0.46030134,12.478645,1.1126289,--,5.2664127,6.6169767967880535
47.49376629815582,0.023431713,11.514116696331014,0.019582128,6.512139900087588,0.027665693,17.722247167361914,0.027031865,-44.28167727670608,0.024174592,14.6431675,2.1631203,0.4566,1.0550582,8.711786105304812
43.53706947625823,0.041932773,9.575282694943667,0.039376415,5.992508236703599,0.05209612,18.976910438738976,0.05287154,-42.880901251415345,0.047383126,15.886723,2.4918642,0.5119,1.0817577,9.774765762916974
43.5348112796946,0.047727186,9.563431507317423,0.04760452,5.903293790145952,0.05860097,18.833682220411834,0.06396813,-42.87331723970814,0.057094224,16.36044,2.5793953,0.5494,0.90441257,10.21591128733954
39.37855478308466,0.16429576,6.261357514899151,0.16525061,5.165969145972979,0.20187949,22.73308096297484,0.246445,-43.70377184225151,0.20951971,18.353325,2.9057426,0.35,0.9720495,11.919083930126837
44.77866320489782,0.16729273,10.641009818989408,0.13893586,6.812590842702188,0.1832589,19.623912844531137,0.1911105,-47.20954338800688,0.16922177,18.322527,3.3434925,0.4517,0.97409827,12.489088463944897
45.18290000461173,0.111262545,12.01921580810238,0.09904286,7.006102211435193,0.12728146,18.779035271534905,0.14035004,-46.27037168604447,0.12547906,17.74844,3.1513138,--,0.9375374,11.97582213338594
46.13202365949613,0.042400993,12.809901273807869,0.033245053,8.12661517144349,0.047949445,22.207965146365883,0.052140344,-44.60320481297521,0.04265353,12.562057,1.5385714,0.3503,3.3093343,7.1116050145175755
47.122540223547034,0.12422353,15.76964925966341,0.12794568,5.45848712525416,0.14692102,20.805494865293642,0.17889218,-45.16111597466331,0.16750243,17.815493,2.6544533,0.512,0.8334015,11.50085408144322
46.135526736382616,0.5836546,12.809702925315595,0.5079977,8.047882859713878,0.6665661,22.67153168971389,0.83141154,-43.43605952667973,0.67597675,20.084051,2.9088268,--,1.0745647,14.61245936430632
45.02737457379443,0.10663658,13.034700812076318,0.083398364,8.02631680619294,0.12644269,21.40834779420419,0.12255314,-48.3688899162024,0.10428379,17.551441,3.2389584,0.8026,0.99072444,12.074022681344214
58.73578683389552,0.034318525,11.852730793353999,0.023996964,5.0885201066396375,0.038357016,19.422893813646606,0.044284526,-45.277698039397755,0.029955747,15.656594,2.4644032,0.6814,1.0991896,9.18955175100917
61.4429976781327,0.17673515,16.745270974162327,0.11445812,8.030700750802009,0.18967126,17.83025672986611,0.216343,-48.22147052369707,0.14092875,18.509842,3.4608498,1.3483,1.0542457,13.033609134086074
59.4572868485333,0.020010252,18.562181636825176,0.012649364,7.702740452330175,0.02233277,20.244468955889484,0.024940314,-47.20667174595276,0.016146747,11.202184,1.025466,0.14,1.0752177,5.635410045145793
60.17206042827453,0.05740256,18.68256778992628,0.036868844,6.468423983572652,0.0613468,21.642380554399388,0.07072474,-43.086118988948506,0.043517224,11.274236,0.9907923,--,2.8975124,5.3282281189982825
57.62395286762945,0.228463,19.350311960568707,0.15350188,7.393642304233989,0.2513424,19.384578984323174,0.2823183,-43.78130234766476,0.19944869,18.777998,3.4662952,--,1.0374584,13.122290151012486
60.97654203648151,0.040003426,19.072995888886297,0.023263127,7.423727443330983,0.041046485,21.15335664120909,0.053660564,-42.66297091401826,0.026283111,15.520027,2.8446245,0.7011,1.1085427,9.873137254156624
65.27681362114163,0.07556556,18.14762973868162,0.04431849,7.798854250145548,0.08277336,17.414940682879873,0.11242063,-47.52019481449513,0.07972945,17.211187,3.1330595,0.6984,0.95899165,11.671341382925245
64.64444116396322,0.23833427,18.641379489747216,0.168775,7.950950885055824,0.2666838,17.63692283478817,0.32378533,-43.40097963857173,0.24586251,19.034842,3.438486,--,1.0482618,13.53693689109611
62.340159010598,0.05851338,17.828793018214956,0.04530514,7.713361063484505,0.07331589,21.098370424557103,0.07908873,-44.949461235215594,0.0595958,16.641136,3.011879,0.622,0.9855718,11.077354475545302
65.75286016502321,0.08112384,18.373455899928494,0.04210883,6.466813267053554,0.08796682,21.015190253762007,0.110836424,-48.30966834522497,0.07906235,17.346106,2.857603,0.8853,0.9916964,11.399557178689651
61.521270918368536,0.04452281,18.069054055684838,0.03142865,7.200826370530527,0.048433907,17.806159233937557,0.05698371,-43.1725373736907,0.04074165,16.066448,2.8103876,0.605,1.0918037,10.353359907414827
61.14502945132946,0.06788967,22.04606676888461,0.034549095,7.307982320906292,0.07527188,18.340497580585364,0.068498015,-45.891860091313674,0.041253302,16.594816,3.0386314,0.8305,0.9994528,10.9138036481806
59.84548312183911,0.020180747,22.57116993056076,0.010589014,7.460595639590168,0.019523792,17.952584340610734,0.025673974,-45.482100216381994,0.013761428,13.755472,1.9050522,0.1533,1.0315162,8.119339693687774
57.29357990702101,0.22412062,16.647017312425938,0.145717,7.433694469368027,0.24884926,22.403456044924823,0.28382695,-47.1500941271789,0.1798928,18.607803,3.5173035,0.4196,1.036837,12.963826881152002
58.370325759330775,0.018602919,20.907165340115196,0.0115086865,7.312472679577789,0.019746302,19.218960776558564,0.026274074,-44.584127107508024,0.01551189,11.657691,1.1711817,0.5984,1.294968,5.978012284433342
60.13999258701869,0.0995091,21.45269913101329,0.05869192,6.938449693026262,0.10995071,17.51100838196579,0.11123774,-42.90280695646929,0.07322205,17.453327,3.1868534,0.8707,1.0235492,11.659639397960404
58.80686451438622,0.037874445,19.504492522181536,0.024864389,7.583381790840154,0.040411104,20.109010327184016,0.049128704,-46.486984499728536,0.031232323,15.475814,2.7025805,0.6046,1.0344882,9.875128472695284
59.54272897641185,0.16674139,20.948665290850542,0.09808046,7.715037547657039,0.18492985,19.933050702990442,0.20286281,-47.06057016850064,0.12524974,18.362885,3.4004974,0.6379,1.0344896,12.799574741659459
59.29092419571437,0.06772316,21.60740677159657,0.041835018,7.206987481677237,0.07161286,18.315870271139914,0.10156749,-43.954755574556856,0.055417735,16.671072,3.0679607,0.6878,1.0814058,10.959840844743123
61.03522267253822,0.06458241,20.469124894466106,0.0336383,7.8986362987433285,0.058543418,17.410358392939486,0.07813377,-48.52301828608444,0.03847378,14.349607,2.237362,0.6007,2.464495,8.8373680512848
59.70862006322246,0.116975434,21.6145597316618,0.0791001,7.74822673052276,0.1281942,18.773077550327567,0.1483613,-46.134750057254365,0.099960335,17.698153,3.8060455,0.8285,1.0660092,12.144164145440875
58.04683041911643,0.06585503,20.875822870368648,0.04360292,7.75716693476485,0.07290693,20.15796358354762,0.09319861,-47.180647241076436,0.058758967,16.612682,3.062271,0.6409,1.0641127,11.061198030488342
58.91469673384163,0.026683327,21.27260374152849,0.01792463,6.739295486641266,0.03224268,19.17097979510673,0.034855455,-44.53663315183073,0.023739697,14.325708,2.2098265,0.5317,1.4717368,8.468780882154569
63.89443173863811,0.069532424,18.330836885239947,0.04738077,6.046524783811429,0.076365456,17.558443657355635,0.09168442,-47.93804780007643,0.06782887,16.781494,2.918747,0.8558,1.044881,10.689023327231371
63.88422426413356,0.12109117,17.697752066017323,0.07837155,7.79600253944929,0.12957022,17.295110595080573,0.14328696,-46.7753559312234,0.11322194,17.6217,3.350645,0.7845,1.0338395,12.08106014642296
61.218047590233645,0.082034506,17.4642811417892,0.05359013,7.537224708615757,0.09798807,18.629909243496776,0.10798229,-46.34950258885481,0.0639533,13.15469,2.051896,0.3496,6.43711,7.540747104634065
57.04311923768382,0.014320965,19.30230212368997,0.010114823,7.734834945459338,0.015833635,20.827256174385475,0.018736614,-46.69973736930276,0.012612426,12.718654,1.4955025,0.2029,1.1367141,7.160908932263583
59.92782200109492,0.09577759,21.204034312938816,0.060833808,7.001214847990423,0.10387235,17.23571260205042,0.14000711,-43.00337845806828,0.075147174,17.240238,3.2557192,0.6128,1.0378132,11.466105215483777
59.42338944281365,0.22393426,21.30421442147548,0.14348091,7.871350299247628,0.25000328,17.684837652608874,0.2845478,-47.053162141379005,0.17704657,18.693808,3.8873577,--,0.97961164,13.174053803247299
60.97297719044816,0.028233273,19.070666313092424,0.016050866,7.370636664295844,0.030245755,19.071108056651482,0.039608516,-43.212023748477634,0.018819436,10.908913,1.0455036,--,1.693029,5.246437674545927
